stock,date,open,high,low,close,volume
TRV,16/4/2018,135.0987,135.855,133.871,135.0987,1354919
TRV,17/4/2018,135.9974,136.513,134.5683,134.8924,1817407
TRV,18/4/2018,135.3148,135.4621,132.7709,134.038,1398983
TRV,19/4/2018,133.3308,135.0692,133.2277,134.1558,1716081
TRV,20/4/2018,134.421,135.3835,133.429,134.4014,1428474
TRV,23/4/2018,134.6469,135.2264,133.6058,134.7844,1720436
TRV,24/4/2018,129.7851,131.5432,128.4592,130.5119,3147891
TRV,25/4/2018,129.5592,130.9048,129.0485,129.8637,1860007
TRV,26/4/2018,129.9816,130.9539,129.1663,130.5807,1712814
TRV,27/4/2018,129.9816,131.391,129.5985,130.8164,1107116
TRV,30/4/2018,131.4941,131.9557,129.1369,129.2547,1712112
TRV,1/5/2018,129.2155,129.2155,127.3886,128.7538,1264693
TRV,2/5/2018,128.1842,128.4592,124.9626,126.0332,2205800
TRV,3/5/2018,125.1394,125.5323,122.9197,125.0412,2267735
TRV,4/5/2018,124.4519,128.1154,124.2653,127.3984,1545377
TRV,7/5/2018,127.3297,127.5206,126.4752,126.6913,1222854
TRV,8/5/2018,126.6814,127.3199,125.6109,126.3671,1239000
TRV,9/5/2018,127.0841,127.8895,126.2886,127.4377,1164909
TRV,10/5/2018,127.6243,128.8128,127.1332,128.5476,916713
TRV,11/5/2018,128.6556,129.736,128.2824,128.911,1046676
TRV,14/5/2018,129.1663,129.4217,127.4082,127.6833,1221074
TRV,15/5/2018,126.8975,128.027,126.5439,127.5458,1547491
TRV,16/5/2018,127.5163,128.2136,127.2118,127.8306,840494
TRV,17/5/2018,127.6833,128.4985,127.369,128.3904,807806
TRV,18/5/2018,128.4297,128.4393,127.2118,127.5359,986057
TRV,21/5/2018,128.3806,129.6083,127.7029,128.8029,1027589
TRV,22/5/2018,128.7931,129.7065,128.2431,129.0779,769227
TRV,23/5/2018,128.7637,128.9012,127.7913,128.5672,1085790
TRV,24/5/2018,128.4395,128.5181,127.035,128.3217,818057
TRV,25/5/2018,127.8502,129.1271,127.8208,128.6949,846508
TRV,29/5/2018,127.5752,127.8404,125.2376,125.9252,1742526
TRV,30/5/2018,126.8779,128.3904,126.6127,127.8502,1273601
TRV,31/5/2018,127.5949,127.6194,125.4341,126.2296,1790222
TRV,1/6/2018,127.5261,127.6636,126.4162,126.9859,1001110
TRV,4/6/2018,127.6243,128.1842,127.2118,127.4082,1063983
TRV,5/6/2018,126.9564,127.2118,125.7975,126.868,1381192
TRV,6/6/2018,127.585,128.1547,125.3358,126.4752,2388736
TRV,7/6/2018,126.8408,128.5304,126.1195,128.2241,1463273
TRV,8/6/2018,128.4415,130.0719,128.0068,129.7557,1606433
TRV,11/6/2018,129.7754,129.9236,128.8862,128.9454,807750
TRV,12/6/2018,128.9553,129.3308,127.5621,128.0364,1088350
TRV,13/6/2018,128.481,129.2616,127.6906,128.1747,1170220
TRV,14/6/2018,128.3921,128.5304,127.2163,127.325,1218983
TRV,15/6/2018,126.5345,127.8882,126.2381,127.8289,3281489
TRV,18/6/2018,126.5246,126.7222,125.2302,126.0701,1689827
TRV,19/6/2018,125.0326,126.8211,125.0326,126.6333,1153458
TRV,20/6/2018,127.2657,127.2953,123.422,123.5011,1442492
TRV,21/6/2018,122.8885,123.4517,121.3668,121.9794,1593824
TRV,22/6/2018,122.7205,123.8173,122.2017,122.928,1817208
TRV,25/6/2018,122.8292,123.4319,121.0012,122.2462,1704702
TRV,26/6/2018,122.3549,122.9197,121.0704,121.1593,1312913
TRV,27/6/2018,121.0704,121.9992,119.8452,119.8946,1055725
TRV,28/6/2018,119.5981,121.3619,119.3017,120.9913,1265779
TRV,29/6/2018,121.0309,122.5426,120.6455,120.8826,1220595
TRV,2/7/2018,120.6257,120.9913,119.9489,120.932,1095456
TRV,3/7/2018,121.6039,122.5723,121.1791,121.3075,659117
TRV,5/7/2018,121.9597,122.0189,120.359,121.1395,1291976
TRV,6/7/2018,121.1494,122.3253,120.3688,121.7126,1007046
TRV,9/7/2018,122.3648,124.1038,122.0683,123.9062,1130636
TRV,10/7/2018,124.0939,124.6374,123.8963,124.3706,1367042
TRV,11/7/2018,123.8667,124.173,123.0466,123.5604,1200382
TRV,12/7/2018,124.9239,124.9239,123.6206,124.5188,1297407
TRV,13/7/2018,124.667,125.2796,123.9623,125.1215,902101
TRV,16/7/2018,125.497,126.7025,125.1117,126.663,1101278
TRV,17/7/2018,127.0483,127.903,126.3468,127.2558,2028416
TRV,18/7/2018,127.2953,128.9059,126.8112,128.4514,1460966
TRV,19/7/2018,125.4871,125.9812,123.1256,123.6888,2796087
TRV,20/7/2018,123.3726,124.6275,122.8539,123.7086,1880168
